"Osilnica";519.57;534.91;558.03;575.88;530.04;587.48;636.69;656.54;693.41
"Pesnica";661.04;730.31;807.91;875.80;868.88;893.85;873.93;882.56;869.29
"Piran/Pirano";724.61;755.37;813.08;862.98;908.52;939.52;957.92;943.01;925.57
"Pivka";611.00;633.11;690.87;748.40;733.11;757.34;817.36;897.14;901.27
"Podèetrtek";623.58;662.81;714.66;761.27;737.31;745.39;781.68;787.45;801.75
"Podvelka";594.96;635.90;674.82;753.05;791.29;803.69;804.19;810.68;833.72
"Postojna";724.96;765.26;819.87;874.26;896.10;920.36;945.66;932.68;936.81
"Preddvor";639.20;673.54;728.59;777.73;813.02;857.41;866.51;871.83;866.98
"Ptuj";654.17;692.07;749.37;805.63;835.94;863.43;864.11;850.69;857.63
"Puconci";703.85;749.51;829.11;911.42;951.76;943.87;951.40;973.56;950.14
"Raèe - Fram";696.96;702.61;733.27;798.26;812.52;861.77;857.54;838.97;845.09
"Radeèe";604.50;648.77;733.76;793.20;816.45;875.31;930.16;885.28;873.10
"Radenci";689.67;737.36;791.96;832.08;847.04;873.72;896.86;907.49;897.34
"Radlje ob Dravi";575.78;611.83;655.77;707.16;726.42;814.47;846.20;854.94;875.68
"Radovljica";672.54;699.19;758.49;814.94;837.52;896.13;896.85;903.23;901.79
"Ravne na Koroškem";722.27;746.31;780.73;851.97;877.40;929.76;972.27;984.89;991.59
"Ribnica";649.56;694.02;732.60;785.51;814.50;858.93;878.57;906.56;920.96
"Rogašovci";691.11;738.52;777.50;812.90;832.00;852.17;869.99;892.08;888.45
"Rogaška Slatina";579.75;613.56;654.73;694.78;736.22;764.96;798.12;801.89;815.84
"Rogatec";581.11;638.44;660.21;697.66;728.47;785.86;781.92;772.60;777.66
"Ruše";686.19;726.18;823.64;868.00;895.15;939.10;987.40;998.34;1018.62
"Semiè";590.34;622.77;651.90;699.38;708.90;786.46;846.37;818.62;793.73
"Sevnica";613.60;662.22;713.46;765.46;783.41;813.15;854.11;851.72;864.69
"Sežana";708.90;743.41;797.15;878.94;897.32;922.75;941.43;933.72;923.56
"Slovenj Gradec";660.65;695.18;747.37;805.75;848.91;900.39;932.61;934.72;934.02
"Slovenska Bistrica";694.56;727.33;825.13;846.49;856.83;916.48;930.33;937.91;962.09
"Slovenske Konjice";631.66;648.37;699.39;762.58;778.92;838.20;838.04;838.33;857.52
"Starše";724.84;739.42;785.12;814.71;780.48;729.86;652.55;711.33;702.33
"Sveti Jurij ob Šèavnici";639.26;690.44;727.00;799.45;811.67;874.06;884.48;902.44;891.96
"Šenèur";707.74;760.41;829.25;878.79;915.27;961.42;987.36;1004.10;1001.62
"Šentilj";660.48;691.86;738.15;805.67;836.14;864.47;877.71;870.27;889.67
"Šentjernej";654.47;679.67;743.84;777.31;780.78;871.41;930.27;942.66;985.97
"Šentjur";639.23;672.56;725.52;794.54;813.23;841.93;870.21;859.93;856.32
"Škocjan";663.83;716.88;762.67;850.55;882.51;811.70;864.22;917.77;929.52
"Škofja Loka";701.32;735.09;788.09;843.47;871.43;919.88;936.30;968.42;995.29
"Škofljica";623.12;655.40;707.39;765.26;802.64;837.52;863.13;849.89;857.18
"Šmarje pri Jelšah";651.04;682.97;724.32;793.42;829.44;841.50;850.54;843.31;848.78
"Šmartno ob Paki";642.69;682.36;730.85;777.08;788.26;820.02;836.09;820.71;818.90
"Šoštanj";767.73;832.93;896.64;964.51;987.59;1005.27;1044.68;1063.77;1093.48
"Štore";689.27;731.52;803.05;892.38;839.67;928.23;967.92;967.65;990.55
"Tolmin";658.15;696.29;739.42;802.22;822.11;868.46;898.84;912.19;930.70
"Trbovlje";767.87;814.41;869.96;957.63;992.36;1018.68;1041.66;1033.41;1028.84
"Trebnje";690.53;719.34;789.70;853.86;868.65;902.08;920.60;896.52;911.11
"Tržiè";612.73;647.01;692.03;745.40;781.30;831.00;858.58;861.66;874.78
"Turnišèe";510.59;585.78;590.84;673.05;736.64;762.35;808.76;809.76;805.17
"Velenje";693.30;717.36;760.84;813.98;824.61;912.77;945.93;959.08;972.45
"Velike Lašèe";608.65;663.99;716.64;772.47;809.97;829.21;866.86;837.71;812.31
"Videm";694.64;717.94;753.66;827.33;817.36;841.07;818.99;808.74;813.91
"Vipava";655.83;703.36;773.64;821.65;860.51;882.29;897.44;890.03;916.54
"Vitanje";627.63;671.52;735.91;755.03;740.71;832.55;845.00;844.23;875.82
"Vodice";667.10;687.52;722.55;774.32;825.77;869.25;870.47;854.02;846.88
"Vojnik";701.15;711.22;747.02;813.06;863.23;872.35;890.01;889.33;890.95
"Vrhnika";610.01;642.66;692.02;773.56;816.85;860.49;886.32;882.05;896.96
"Vuzenica";658.98;656.29;696.72;737.22;745.07;777.99;812.31;854.53;849.98
"Zagorje ob Savi";660.91;685.68;740.75;800.31;825.21;861.40;882.38;845.17;871.61
"Zavrè";636.49;686.23;710.84;842.53;881.87;840.42;784.12;815.70;769.91
"Zreèe";656.64;696.31;760.33;807.28;785.05;852.20;874.35;887.76;913.88
"Železniki";680.86;718.50;773.89;780.94;766.97;808.93;842.18;840.17;892.77
"Žiri";659.35;691.83;762.50;809.67;771.24;812.57;846.92;866.19;885.43
"Benedikt";688.86;730.72;817.51;836.36;852.68;903.57;918.12;917.47;905.37
"Bistrica ob Sotli";634.89;679.40;785.46;842.48;881.26;908.28;888.27;900.91;918.69
